Year,URL,Date,Competition,Opponent,Goals_Scored,Goals_Received,Attendance,Month,DOW,Result,temperature,rain
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsrsl-03-02-2019,Saturday March 2 2019,MLS Regular Season,Salt Lake,1,1,16827,March,Saturday,D,18.5,1
2019,https://www.houstondynamofc.com/competitions/concacaf-champions-league/2018/matches/houvstig-03-05-2019,Tuesday March 5 2019,CONCACAF Champions Cup,Tigres,0,2,14326,March,Tuesday,L,4.0,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsmtl-03-09-2019,Saturday March 9 2019,MLS Regular Season,Montréal,2,1,12601,March,Saturday,W,23.5,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsvan-03-16-2019,Saturday March 16 2019,MLS Regular Season,Vancouver,3,2,13549,March,Saturday,W,13.5,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvssj-04-13-2019,Saturday April 13 2019,MLS Regular Season,San Jose,2,1,14476,April,Saturday,W,22.5,1
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsccsc-04-27-2019,Saturday April 27 2019,MLS Regular Season,Columbus,2,0,15557,April,Saturday,W,23.8,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsdal-05-04-2019,Saturday May 4 2019,MLS Regular Season,Dallas,2,1,16521,May,Saturday,W,24.7,1
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvspor-05-15-2019,Wednesday May 15 2019,MLS Regular Season,Portland,1,1,13327,May,Wednesday,D,25.7,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsdc-05-18-2019,Saturday May 18 2019,MLS Regular Season,D.C.,2,1,15811,May,Saturday,W,26.7,1
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsskc-06-01-2019,Saturday June 1 2019,MLS Regular Season,Kansas City,1,1,15710,June,Saturday,D,28.9,0
2019,https://www.houstondynamofc.com/competitions/u-s-open-cup/2019/matches/houvsaus-06-11-2019,Tuesday June 11 2019,U.S. Open Cup,Austin Bold,3,2,4765,June,Tuesday,W,27.2,1
2019,https://www.houstondynamofc.com/competitions/u-s-open-cup/2019/matches/houvsmin-06-18-2019,Tuesday June 18 2019,U.S. Open Cup,Minnesota,2,3,4559,June,Tuesday,L,29.7,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsrbny-07-03-2019,Wednesday July 3 2019,MLS Regular Season,New York,4,0,19531,July,Wednesday,W,27.6,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvslfc-07-12-2019,Friday July 12 2019,MLS Regular Season,LAFC,1,3,17219,July,Friday,L,31.8,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvssea-07-27-2019,Saturday July 27 2019,MLS Regular Season,Seattle,0,1,15138,July,Saturday,L,29.9,0
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvschi-08-03-2019,Saturday August 3 2019,MLS Regular Season,Chicago,0,1,14250,August,Saturday,L,29.9,1
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvscol-08-17-2019,Saturday August 17 2019,MLS Regular Season,Colorado,2,2,15458,August,Saturday,D,30.2,1
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsmin-09-11-2019,Wednesday September 11 2019,MLS Regular Season,Minnesota,2,0,13566,September,Wednesday,W,28.4,1
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsocs-09-21-2019,Saturday September 21 2019,MLS Regular Season,Orlando,2,1,15146,September,Saturday,W,28.2,0
